Country,ISO3,indicateur_perf_logistique,pib_par_hab,stab_politique,population,tx_urbanisation,tarif_douanier_moyen,emissions_agri_pc,organic_share,hfce_per_capita_usd_const2015
Germany,DEU,4.1,67589.8399055414,0.628491878509521,83797985.0,77.648,1.95,261.16046,9.67,22575.795405555
Djibouti,DJI,2.7,6621.33038220409,-0.507386088371277,1137096.0,78.38,,193.47446,,2362.53641850398
Dominica,DMA,,18802.0819913205,1.30801045894623,66826.0,71.7,,149.59534,11.63,
Denmark,DNK,4.1,77400.3348008883,0.86891770362854,5903037.0,88.367,1.95,653.9158,11.62,27279.1210874228
Dominican Republic,DOM,2.6,24625.8088564037,0.249287635087967,11230734.0,83.848,4.48,267.1241,8.09,5993.91789998942
Algeria,DZA,2.5,15836.0944370321,-0.650652348995209,45477389.0,74.772,11.2,110.38452,0.0,1820.49086734848
East Asia & Pacific (excluding high income),EAP,2.95833333333333,19925.5390979528,,2133560408.0,59.2214841637791,,,,3886.98365274362
Early-demographic dividend,EAR,2.74651162790698,12224.1575215353,,3470644834.0,46.6251546023672,,,,2384.10536212042
East Asia & Pacific,EAS,3.3,23606.2459091739,,2379648196.0,62.2257312651105,,,,5552.01731614639
Europe & Central Asia (excluding high income),ECA,2.72,24921.079185127,,250840400.0,64.169725876266,,,,5342.62769500712
Europe & Central Asia,ECS,3.32391304347826,47041.3669450942,,925061269.0,73.0396201290606,,,,13768.6396746772
Ecuador,ECU,,15198.0725554473,-0.37122431397438,17823897.0,64.57,7.82,198.04869,1.15,3870.73576990915
"Egypt, Arab Rep.",EGY,3.1,17526.8017030166,-0.978700578212738,112618250.0,42.967,,110.63926,2.86,3223.2270395649
Euro area,EMU,3.655,59921.0108876931,,348700885.0,77.7126830118197,,,,19614.4648865835
Eritrea,ERI,,,-0.957195043563843,3409447.0,42.625,,428.22156,,
Spain,ESP,3.9,50468.0966924829,0.318843424320221,47786102.0,81.304,1.95,280.16833,10.66,15652.7913033182
Estonia,EST,3.6,47802.0073086125,0.727880895137787,1348840.0,69.609,1.95,1096.2208,23.43,11241.8684925496
Ethiopia,ETH,,2844.92274535753,-2.07060623168945,125384287.0,22.661,,343.9825,0.62,601.268137441776
European Union,EUU,3.61851851851852,57525.7487506451,,447703403.0,75.4620574704142,1.95,,,17891.9794610982
Fragile and conflict affected situations,FCS,2.38095238095238,5326.28541386027,,1036390026.0,44.401646495307,,,,
Finland,FIN,4.2,61347.1578483192,0.894830107688904,5556106.0,85.681,1.95,721.8142,14.98,24602.319976957
Fiji,FJI,2.3,13672.2356967503,0.748508632183075,919422.0,58.229,,141.39226,6.13,
,FLK,,,,,,,,2.81,
France,FRA,3.9,56181.0058137403,0.393339216709137,68065015.0,81.509,1.95,383.38852,10.16,20647.9996334972
Faroe Islands,FRO,,74316.7435048892,,53927.0,42.779,,,0.26,
"Micronesia, Fed. Sts.",FSM,,4085.20953290836,1.20921885967255,112114.0,23.217,,178.37712,,
Gabon,GAB,2.4,19992.5570643309,0.0603694021701813,2430747.0,90.735,18.83,135.76057,,2226.72803014945
