Country,ISO3,indicateur_perf_logistique,pib_par_hab,stab_politique,population,tx_urbanisation,tarif_douanier_moyen,emissions_agri_pc,organic_share,hfce_per_capita_usd_const2015
Sub-Saharan Africa (IDA & IBRD countries),TSS,2.53461538461538,4609.4935974602,,1229208573.0,42.4493969365686,,,,1107.81380927111
Trinidad and Tobago,TTO,2.5,32988.8093757144,0.34842374920845,1365805.0,53.34,9.02,106.957375,,
Tunisia,TUN,,13608.0725802241,-0.594559073448181,12119334.0,70.214,,184.82858,2.48,2985.06792981356
Turkiye,TUR,3.4,39101.0748100515,-1.03223478794098,84979913.0,77.022,7.48,299.10934,0.81,9710.55994241118
Tuvalu,TUV,,5661.14384766376,1.18310344219208,9992.0,65.527,,0.0,,
,TWN,,,,,,,,1.51,
Tanzania,TZA,,3799.8623046875,-0.260344117879868,64711821.0,36.682,12.76,332.39676,0.79,601.654541015625
Uganda,UGA,,2919.17775407108,-0.711015820503235,47312719.0,26.159,15.12,209.66878,3.51,699.743492498532
Ukraine,UKR,2.7,14770.0712890625,-1.94932460784912,41048766.0,69.919,2.09,401.7173,0.64,1712.88330078125
Upper middle income,UMC,2.77368421052632,21620.6059298756,,2803432387.0,67.9126119225171,,,,4599.61092852349
Uruguay,URY,3.0,33000.918699951,1.08582961559296,3390913.0,95.688,9.9,2014.2068,19.36,
United States,USA,3.8,77860.9112908848,0.008700686506927,334017321.0,83.084,2.72,447.0418,0.5,44382.9971565595
Uzbekistan,UZB,2.6,10292.5309427485,-0.20133601129055,34938955.0,50.466,,383.8123,0.01,2461.15100156476
St. Vincent and the Grenadines,VCT,,18035.273292812,1.03362321853638,102046.0,53.875,9.72,97.9787,,
"Venezuela, RB",VEN,2.3,,-1.25080645084381,28213017.0,88.378,12.74,354.8008,0.01,
British Virgin Islands,VGB,,,,38319.0,49.331,,,0.37,
Virgin Islands (U.S.),VIR,,49793.0324395716,0.529783725738525,105413.0,96.136,,,,24186.0109068988
Viet Nam,VNM,3.3,13905.1536875216,-0.0461320951581001,99680655.0,38.766,3.71,199.63753,0.25,2057.05698178473
Vanuatu,VUT,,3452.6074269388,0.961862087249756,313046.0,25.816,11.47,223.5986,1.24,2180.29963690309
World,WLD,3.0,21795.5422800663,,7990399768.0,56.815715402616,,,,6453.26125512795
Samoa,WSM,,6260.40238283391,1.09655201435089,215261.0,17.616,,185.81316,95.47,3105.52096763598
Kosovo,XKX,,13950.896732241,-0.198845237493515,1768096.0,,,,,4061.56435093235
"Yemen, Rep.",YEM,2.2,,-2.462735414505,38222876.0,39.188,,81.6265,,
South Africa,ZAF,3.7,14759.4350715619,-0.681386351585388,62378410.0,68.335,7.31,214.01634,0.05,3866.87072561405
Zambia,ZMB,,3840.72450511139,0.161331877112389,20152938.0,45.761,11.5,575.10236,0.04,
Zimbabwe,ZWE,2.5,3560.03940257044,-0.894974112510681,16069056.0,32.395,,254.5264,0.01,920.961808443486
